company,source,page,unit,side,block,row_index,item,col_index,equity_component,is_total_col,kind,value
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,21,กาไรสุทธิ,6,งบการเงินรวม วนของเจ้าของ กาไร จากเงินลงทุน ในตราสารทุน ที่กาหนดให้วดั มูลค่า ด้วยมูลค่ายุติธรรม ผ่านกาไรขาดทุน เบ็ดเสร็ จอื่น (พันบาท),False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,21,กาไรสุทธิ,7,การเปลี่ยนแปลง ในส่ วนเกินทุน จากการตีราคา สิ นทรัพย์,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,21,กาไรสุทธิ,8,รวม องค์ประกอบ อื่นของส่ วน ของเจ้าของ ตามกฎหมาย,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,21,กาไรสุทธิ,9,ทุนสารอง,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,21,กาไรสุทธิ,10,กาไรสะสม ยังไม่ได้จดั สรร ของธนาคาร,False,movement,10850731.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,21,กาไรสุทธิ,11,รวมส่ วนที่เป็ น,False,movement,10850731.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,21,กาไรสุทธิ,12,ส่ วนได้เสี ยที่ ไม่มีอานาจ ควบคุม,False,movement,19972.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,21,กาไรสุทธิ,13,รวม,True,movement,10870703.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,22,กาไรขาดทุนเบ็ดเสร็ จอื่น,0,ทุนที่ออกและชาระแล้ว บุริมสิ ทธิ,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,22,กาไรขาดทุนเบ็ดเสร็ จอื่น,1,หุน้ สามัญ,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,22,กาไรขาดทุนเบ็ดเสร็ จอื่น,2,ส่ หุน้ บุริมสิ ทธิ,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,22,กาไรขาดทุนเบ็ดเสร็ จอื่น,3,วนเกินมูลค่าหุน้ หุน้ สามัญ,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,22,กาไรขาดทุนเบ็ดเสร็ จอื่น,4,กาไร (ขาดทุน) จากการวัด มูลค่าเงินลงทุน ในตราสารหนี้ ด้วยมูลค่ายุติธรรม ผ่านกาไรขาดทุน เบ็ดเสร็ จอื่น,False,movement,-3760306.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,22,กาไรขาดทุนเบ็ดเสร็ จอื่น,5,องค์ประกอบอื่นของส่ ขาดทุน จากการแปลงค่า งบการเงิน จากการ ดาเนิ นงาน ในต่างประเทศ,False,movement,-71736.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,22,กาไรขาดทุนเบ็ดเสร็ จอื่น,6,งบการเงินรวม วนของเจ้าของ กาไร จากเงินลงทุน ในตราสารทุน ที่กาหนดให้วดั มูลค่า ด้วยมูลค่ายุติธรรม ผ่านกาไรขาดทุน เบ็ดเสร็ จอื่น (พันบาท),False,movement,902.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,22,กาไรขาดทุนเบ็ดเสร็ จอื่น,7,การเปลี่ยนแปลง ในส่ วนเกินทุน จากการตีราคา สิ นทรัพย์,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,22,กาไรขาดทุนเบ็ดเสร็ จอื่น,8,รวม องค์ประกอบ อื่นของส่ วน ของเจ้าของ ตามกฎหมาย,False,movement,-3831140.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,22,กาไรขาดทุนเบ็ดเสร็ จอื่น,9,ทุนสารอง,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,22,กาไรขาดทุนเบ็ดเสร็ จอื่น,10,กาไรสะสม ยังไม่ได้จดั สรร ของธนาคาร,False,movement,29229.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,22,กาไรขาดทุนเบ็ดเสร็ จอื่น,11,รวมส่ วนที่เป็ น,False,movement,-3801911.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,22,กาไรขาดทุนเบ็ดเสร็ จอื่น,12,ส่ วนได้เสี ยที่ ไม่มีอานาจ ควบคุม,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,22,กาไรขาดทุนเบ็ดเสร็ จอื่น,13,รวม,True,movement,-3801911.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,23,รวมกาไรขาดทุนเบ็ดเสร็จสาหรับงวด,0,ทุนที่ออกและชาระแล้ว บุริมสิ ทธิ,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,23,รวมกาไรขาดทุนเบ็ดเสร็จสาหรับงวด,1,หุน้ สามัญ,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,23,รวมกาไรขาดทุนเบ็ดเสร็จสาหรับงวด,2,ส่ หุน้ บุริมสิ ทธิ,False,movement,
