company,source,statement,unit,page,section,item_raw,item_used,concept,concept_eq,match_score,con_cur,con_prev,sep_cur,sep_prev
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,,เงินรับฝาก,เงินรับฝาก,DEPOSITS,DEPOSITS,1.0,68076553.0,-1627254.0,66745151.0,-1802366.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,,รายการระหว่างธนาคารและตลาดเงิน,รายการระหว่างธนาคารและตลาดเงิน,INTERBANK_LIAB,INTERBANK_LIAB,1.0,19724222.0,-6805474.0,19659017.0,-6915805.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,,หนี้ สินจ่ายคืนเมื่อทวงถาม,หนี้ สินจ่ายคืนเมื่อทวงถาม,PAYABLE_ON_DEMAND,PAYABLE_ON_DEMAND,1.0,546002.0,1394240.0,545948.0,1394258.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,,หนี้ สินอนุพนั ธ์,หนี้ สินอนุพนั ธ์,DERIVATIVE_LIAB,DERIVATIVE_LIAB,1.0,5677045.0,-5092978.0,5676127.0,-5093164.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,,ตราสารหนี้ ที่ออกและเงินกูย้ ืมระยะสั้น,ตราสารหนี้ ที่ออกและเงินกูย้ ืมระยะสั้น,,,0.889,-7189542.0,1699689.0,-7189542.0,1699689.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,,หนี้ สินอื่น,หนี้ สินอื่น,OTHER_LIAB,OTHER_LIAB,1.0,-30312395.0,-20951914.0,-28600105.0,-20213907.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,,เงินสดสุทธิได้ มาจากกิจกรรมดาเนินงาน,เงินสดสุทธิได้ มาจากกิจกรรมดาเนินงาน,CF_OPERATING,CF_OPERATING,1.0,12166186.0,10003653.0,12477433.0,9848541.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,กระแสเงินสดจากกิจกรรมลงทุน,เงินสดจ่ายในการซื้ อหลักทรัพย์ที่วดั มูลค่ายุติธรรมผ่านกาไรขาดทุนเบ็ดเสร็ จอื่น,เงินสดจ่ายในการซื้ อหลักทรัพย์ที่วดั มูลค่ายุติธรรมผ่านกาไรขาดทุนเบ็ดเสร็ จอื่น,,,0.672,-64085516.0,-28466101.0,-64085516.0,-28466101.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,กระแสเงินสดจากกิจกรรมลงทุน,เงินสดรับจากการขายหลักทรัพย์ที่วดั มูลค่ายุติธรรมผ่านกาไรขาดทุนเบ็ดเสร็ จอื่น,เงินสดรับจากการขายหลักทรัพย์ที่วดั มูลค่ายุติธรรมผ่านกาไรขาดทุนเบ็ดเสร็ จอื่น,,,0.667,32577752.0,12612670.0,32577752.0,12612670.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,กระแสเงินสดจากกิจกรรมลงทุน,เงินสดจ่ายในการซื้ อหลักทรัพย์ที่วดั มูลค่าด้วยราคาทุนตัดจาหน่าย,เงินสดจ่ายในการซื้ อหลักทรัพย์ที่วดั มูลค่าด้วยราคาทุนตัดจาหน่าย,,,0.584,-199175.0,-83200.0,-199175.0,
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,กระแสเงินสดจากกิจกรรมลงทุน,เงินสดรับจากการไถ่ถอนหลักทรัพย์ที่วดั มูลค่าด้วยราคาทุนตัดจาหน่าย,เงินสดรับจากการไถ่ถอนหลักทรัพย์ที่วดั มูลค่าด้วยราคาทุนตัดจาหน่าย,,,0.63,232100.0,,197031.0,
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,กระแสเงินสดจากกิจกรรมลงทุน,เงินสดจ่ายในการซื้ อที่ดิน อาคารและอุปกรณ์,เงินสดจ่ายในการซื้ อที่ดิน อาคารและอุปกรณ์,,,0.72,-1220.0,-27.0,,
